analysis,delta_intervention_driver_locking_plv,delta_intervention_mean_R1,frequency_hz,replicate,scan_value
delay_scan,,-0.08089124086725594,7.83,0,0.0
delay_scan,,-0.1112754277057562,7.83,1,0.0
delay_scan,,-0.14136395290562648,7.83,2,0.0
delay_scan,,-0.1161075868997965,7.83,3,0.0
delay_scan,,-0.10440103542416913,7.83,4,0.0
delay_scan,,-0.11295258861046861,7.83,5,0.0
delay_scan,,-0.10983948318151765,7.83,6,0.0
delay_scan,,-0.14148783353017239,7.83,7,0.0
delay_scan,,-0.09025672174655044,7.83,8,0.0
delay_scan,,-0.0941095532809911,7.83,9,0.0
delay_scan,,-0.15675010793629726,7.83,10,0.0
delay_scan,,-0.08844560767102698,7.83,11,0.0
delay_scan,,-0.07581846054339533,7.83,12,0.0
delay_scan,,-0.113540416069544,7.83,13,0.0
delay_scan,,-0.11109832726412253,7.83,14,0.0
delay_scan,,-0.1829341288239335,7.83,15,0.0
delay_scan,,-0.09984739978745505,7.83,16,0.0
delay_scan,,-0.10573522236639034,7.83,17,0.0
delay_scan,,-0.09455057923635024,7.83,18,0.0
delay_scan,,-0.13347430210079367,7.83,19,0.0
delay_scan,,-0.12517035290409656,7.83,20,0.0
delay_scan,,-0.07116850835000652,7.83,21,0.0
delay_scan,,-0.11376198241506175,7.83,22,0.0
delay_scan,,-0.07183537986951709,7.83,23,0.0
delay_scan,,-0.13753876631379036,10.0,0,0.0
delay_scan,,-0.08435960090053951,10.0,1,0.0
delay_scan,,-0.11446859321253017,10.0,2,0.0
delay_scan,,-0.10018734333195894,10.0,3,0.0
delay_scan,,-0.10078599384536018,10.0,4,0.0
delay_scan,,-0.08906133812593432,10.0,5,0.0
delay_scan,,-0.17756422451723408,10.0,6,0.0
delay_scan,,-0.09908464750165996,10.0,7,0.0
delay_scan,,-0.09740818064973603,10.0,8,0.0
delay_scan,,-0.0998808995280511,10.0,9,0.0
delay_scan,,-0.1436209006614054,10.0,10,0.0
delay_scan,,-0.07753119848464242,10.0,11,0.0
delay_scan,,-0.10133528649632223,10.0,12,0.0
delay_scan,,-0.10206671990610575,10.0,13,0.0
delay_scan,,-0.13689187146105958,10.0,14,0.0
delay_scan,,-0.0851857843388654,10.0,15,0.0
delay_scan,,-0.07080491116731401,10.0,16,0.0
delay_scan,,-0.13029834335104923,10.0,17,0.0
delay_scan,,-0.10503433087563893,10.0,18,0.0
delay_scan,,-0.11539858917355922,10.0,19,0.0
delay_scan,,-0.08558099568084716,10.0,20,0.0
delay_scan,,-0.09880456519526126,10.0,21,0.0
delay_scan,,-0.14787578787052763,10.0,22,0.0
delay_scan,,-0.07511584169068809,10.0,23,0.0
delay_scan,,-0.09066636751857615,14.3,0,0.0
delay_scan,,-0.09355347696186125,14.3,1,0.0
delay_scan,,-0.09092271063497408,14.3,2,0.0
delay_scan,,-0.10561548426247638,14.3,3,0.0
delay_scan,,-0.12447240762533414,14.3,4,0.0
delay_scan,,-0.10866662377661823,14.3,5,0.0
delay_scan,,-0.10970053988907413,14.3,6,0.0
delay_scan,,-0.07239485516279996,14.3,7,0.0
delay_scan,,-0.09244721442762295,14.3,8,0.0
delay_scan,,-0.1129528043901522,14.3,9,0.0
delay_scan,,-0.1479751373574117,14.3,10,0.0
delay_scan,,-0.09678103444693885,14.3,11,0.0
delay_scan,,-0.10104377432696236,14.3,12,0.0
delay_scan,,-0.07371331128472444,14.3,13,0.0
delay_scan,,-0.11682996336563516,14.3,14,0.0
delay_scan,,-0.088473447835965,14.3,15,0.0
delay_scan,,-0.08465459780404662,14.3,16,0.0
delay_scan,,-0.081382624262128,14.3,17,0.0
delay_scan,,-0.12411628822225557,14.3,18,0.0
delay_scan,,-0.08673623532512503,14.3,19,0.0
delay_scan,,-0.08774115185902234,14.3,20,0.0
delay_scan,,-0.07939930092295595,14.3,21,0.0
delay_scan,,-0.10831987377306514,14.3,22,0.0
delay_scan,,-0.11607231482074808,14.3,23,0.0
delay_scan,,-0.08927580498441288,20.8,0,0.0
delay_scan,,-0.12687554295598485,20.8,1,0.0
delay_scan,,-0.16482751165165216,20.8,2,0.0
delay_scan,,-0.13550260374840656,20.8,3,0.0
delay_scan,,-0.14938479961847506,20.8,4,0.0
delay_scan,,-0.11668471696620121,20.8,5,0.0
delay_scan,,-0.11963606928692605,20.8,6,0.0
delay_scan,,-0.1017109669023673,20.8,7,0.0
delay_scan,,-0.11697473299179442,20.8,8,0.0
delay_scan,,-0.11097781820192115,20.8,9,0.0
delay_scan,,-0.0801012252579941,20.8,10,0.0
delay_scan,,-0.09271861627205205,20.8,11,0.0
delay_scan,,-0.12206505848744634,20.8,12,0.0
delay_scan,,-0.13341650090469864,20.8,13,0.0
delay_scan,,-0.10924642387679262,20.8,14,0.0
delay_scan,,-0.17745503236643792,20.8,15,0.0
delay_scan,,-0.09757159681758709,20.8,16,0.0
delay_scan,,-0.11609406599878284,20.8,17,0.0
delay_scan,,-0.14292335321017402,20.8,18,0.0
delay_scan,,-0.08043360545826804,20.8,19,0.0
delay_scan,,-0.10076254734979753,20.8,20,0.0
delay_scan,,-0.11377714938162756,20.8,21,0.0
delay_scan,,-0.11407691775045353,20.8,22,0.0
delay_scan,,-0.12222645445661856,20.8,23,0.0
delay_scan,,-0.12327722150067744,27.3,0,0.0
delay_scan,,-0.10481877176637078,27.3,1,0.0
delay_scan,,-0.09421235088528847,27.3,2,0.0
delay_scan,,-0.08942344220573233,27.3,3,0.0
delay_scan,,-0.07545290490931972,27.3,4,0.0
delay_scan,,-0.11842656862726214,27.3,5,0.0
delay_scan,,-0.10746034464941218,27.3,6,0.0
delay_scan,,-0.10281140708785583,27.3,7,0.0
delay_scan,,-0.13872474043510988,27.3,8,0.0
delay_scan,,-0.09121139800222552,27.3,9,0.0
delay_scan,,-0.1432510710096278,27.3,10,0.0
delay_scan,,-0.08361913506344795,27.3,11,0.0
delay_scan,,-0.12194013665447845,27.3,12,0.0
delay_scan,,-0.12298896605496115,27.3,13,0.0
delay_scan,,-0.0833288591645416,27.3,14,0.0
delay_scan,,-0.12165119254344482,27.3,15,0.0
delay_scan,,-0.15307246738243327,27.3,16,0.0
delay_scan,,-0.07719347335875246,27.3,17,0.0
delay_scan,,-0.08427633664745689,27.3,18,0.0
delay_scan,,-0.11171838352110146,27.3,19,0.0
delay_scan,,-0.08635712818654512,27.3,20,0.0
delay_scan,,-0.10196130333768316,27.3,21,0.0
delay_scan,,-0.06845595004767531,27.3,22,0.0
delay_scan,,-0.07791020997853064,27.3,23,0.0
delay_scan,,-0.10849481370906883,33.8,0,0.0
delay_scan,,-0.0940173927325769,33.8,1,0.0
delay_scan,,-0.09399533011776515,33.8,2,0.0
delay_scan,,-0.09498615744674982,33.8,3,0.0
delay_scan,,-0.0796192595717527,33.8,4,0.0
delay_scan,,-0.08890284596780036,33.8,5,0.0
delay_scan,,-0.07208236636675147,33.8,6,0.0
delay_scan,,-0.08917544460542252,33.8,7,0.0
delay_scan,,-0.14503097436976511,33.8,8,0.0
delay_scan,,-0.07209139737261627,33.8,9,0.0
delay_scan,,-0.07936568897471165,33.8,10,0.0
delay_scan,,-0.09476265995810171,33.8,11,0.0
delay_scan,,-0.09315070566800457,33.8,12,0.0
delay_scan,,-0.0761818967513,33.8,13,0.0
delay_scan,,-0.08547591406305022,33.8,14,0.0
delay_scan,,-0.13100877419254073,33.8,15,0.0
delay_scan,,-0.1439118439261195,33.8,16,0.0
delay_scan,,-0.07770668509282283,33.8,17,0.0
delay_scan,,-0.11867514087996242,33.8,18,0.0
delay_scan,,-0.08939129232944955,33.8,19,0.0
delay_scan,,-0.10988753007991456,33.8,20,0.0
delay_scan,,-0.12947144885998788,33.8,21,0.0
delay_scan,,-0.12140857290098009,33.8,22,0.0
delay_scan,,-0.12564022491478014,33.8,23,0.0
delay_scan,,-0.06599421163977104,7.83,0,0.0625
delay_scan,,-0.10266575245008319,7.83,1,0.0625
delay_scan,,-0.12921666494252917,7.83,2,0.0625
delay_scan,,-0.10116996313191665,7.83,3,0.0625
delay_scan,,-0.09812489665163385,7.83,4,0.0625
delay_scan,,-0.09572979453498759,7.83,5,0.0625
delay_scan,,-0.11283373731199818,7.83,6,0.0625
delay_scan,,-0.13621872235181412,7.83,7,0.0625
delay_scan,,-0.0720132612534167,7.83,8,0.0625
delay_scan,,-0.07897499816264567,7.83,9,0.0625
delay_scan,,-0.1453662357268168,7.83,10,0.0625
delay_scan,,-0.07746538087185728,7.83,11,0.0625
delay_scan,,-0.06522826059043213,7.83,12,0.0625
delay_scan,,-0.09212840113473603,7.83,13,0.0625
delay_scan,,-0.08649237431860775,7.83,14,0.0625
delay_scan,,-0.1625003883213365,7.83,15,0.0625
delay_scan,,-0.09503411207828025,7.83,16,0.0625
delay_scan,,-0.09027299390266505,7.83,17,0.0625
delay_scan,,-0.08303128231646195,7.83,18,0.0625
delay_scan,,-0.12514945461600077,7.83,19,0.0625
delay_scan,,-0.11169594188826928,7.83,20,0.0625
delay_scan,,-0.06570149972625998,7.83,21,0.0625
delay_scan,,-0.10381241353645287,7.83,22,0.0625
delay_scan,,-0.05462407918471081,7.83,23,0.0625
delay_scan,,-0.12893860882642888,10.0,0,0.0625
delay_scan,,-0.0758096631567107,10.0,1,0.0625
delay_scan,,-0.11531597856247613,10.0,2,0.0625
delay_scan,,-0.09633390387219722,10.0,3,0.0625
delay_scan,,-0.09618727089268655,10.0,4,0.0625
delay_scan,,-0.08563260222261267,10.0,5,0.0625
delay_scan,,-0.17198676228908233,10.0,6,0.0625
delay_scan,,-0.09346437751917067,10.0,7,0.0625
delay_scan,,-0.09288841965177216,10.0,8,0.0625
delay_scan,,-0.09059806457777726,10.0,9,0.0625
delay_scan,,-0.1370084715751381,10.0,10,0.0625
delay_scan,,-0.06745199906343775,10.0,11,0.0625
delay_scan,,-0.09342410738128838,10.0,12,0.0625
delay_scan,,-0.09607562065467254,10.0,13,0.0625
delay_scan,,-0.1356190119071844,10.0,14,0.0625
delay_scan,,-0.07604366116311495,10.0,15,0.0625
delay_scan,,-0.07017908647016546,10.0,16,0.0625
delay_scan,,-0.1271119043797094,10.0,17,0.0625
delay_scan,,-0.10259333894446424,10.0,18,0.0625
delay_scan,,-0.10725073770640156,10.0,19,0.0625
delay_scan,,-0.08171801149987087,10.0,20,0.0625
delay_scan,,-0.09154250204016662,10.0,21,0.0625
delay_scan,,-0.14364802280824965,10.0,22,0.0625
delay_scan,,-0.07149495015863025,10.0,23,0.0625
delay_scan,,-0.0855469084132626,14.3,0,0.0625
delay_scan,,-0.07750888498910598,14.3,1,0.0625
delay_scan,,-0.08483165948216739,14.3,2,0.0625
delay_scan,,-0.09112849964487311,14.3,3,0.0625
delay_scan,,-0.11815054053069435,14.3,4,0.0625
delay_scan,,-0.10972408572692227,14.3,5,0.0625
delay_scan,,-0.10443185607106195,14.3,6,0.0625
delay_scan,,-0.0643317314309474,14.3,7,0.0625
delay_scan,,-0.08547165390315928,14.3,8,0.0625
delay_scan,,-0.09947211917815989,14.3,9,0.0625
delay_scan,,-0.14125059437421714,14.3,10,0.0625
delay_scan,,-0.08390580950979197,14.3,11,0.0625
delay_scan,,-0.08391387666802694,14.3,12,0.0625
delay_scan,,-0.05957345950478714,14.3,13,0.0625
delay_scan,,-0.10802802058332592,14.3,14,0.0625
delay_scan,,-0.07725290517478164,14.3,15,0.0625
delay_scan,,-0.07488171320585241,14.3,16,0.0625
delay_scan,,-0.0713748760283488,14.3,17,0.0625
delay_scan,,-0.11167909090321242,14.3,18,0.0625
delay_scan,,-0.07655481742863085,14.3,19,0.0625
delay_scan,,-0.06944576594739003,14.3,20,0.0625
delay_scan,,-0.07288563264694864,14.3,21,0.0625
delay_scan,,-0.09546658927458171,14.3,22,0.0625
delay_scan,,-0.09731098559334356,14.3,23,0.0625
delay_scan,,-0.07294563137282893,20.8,0,0.0625
delay_scan,,-0.09337875434510623,20.8,1,0.0625
delay_scan,,-0.15216583297630176,20.8,2,0.0625
delay_scan,,-0.121591238237877,20.8,3,0.0625
delay_scan,,-0.14023498822155833,20.8,4,0.0625
delay_scan,,-0.09370436486283439,20.8,5,0.0625
delay_scan,,-0.09556751445796711,20.8,6,0.0625
delay_scan,,-0.06489205809511363,20.8,7,0.0625
delay_scan,,-0.09282293294453905,20.8,8,0.0625
delay_scan,,-0.09206103581644201,20.8,9,0.0625
delay_scan,,-0.05000863445365453,20.8,10,0.0625
delay_scan,,-0.0789449099050022,20.8,11,0.0625
delay_scan,,-0.08810359582633003,20.8,12,0.0625
delay_scan,,-0.10774940020304738,20.8,13,0.0625
delay_scan,,-0.089559503739532,20.8,14,0.0625
delay_scan,,-0.17032356443463373,20.8,15,0.0625
delay_scan,,-0.06568485495184383,20.8,16,0.0625
delay_scan,,-0.08723710938488206,20.8,17,0.0625
delay_scan,,-0.11448307274351564,20.8,18,0.0625
delay_scan,,-0.07369842971060801,20.8,19,0.0625
delay_scan,,-0.08333524657246297,20.8,20,0.0625
delay_scan,,-0.10672802787022775,20.8,21,0.0625
delay_scan,,-0.11740768652687121,20.8,22,0.0625
delay_scan,,-0.10228478675712202,20.8,23,0.0625
delay_scan,,-0.12327722150067744,27.3,0,0.0625
delay_scan,,-0.10481877176637078,27.3,1,0.0625
delay_scan,,-0.09421235088528847,27.3,2,0.0625
delay_scan,,-0.08942344220573233,27.3,3,0.0625
delay_scan,,-0.07545290490931972,27.3,4,0.0625
delay_scan,,-0.11842656862726214,27.3,5,0.0625
delay_scan,,-0.10746034464941218,27.3,6,0.0625
delay_scan,,-0.10281140708785583,27.3,7,0.0625
delay_scan,,-0.13872474043510988,27.3,8,0.0625
delay_scan,,-0.09121139800222552,27.3,9,0.0625
delay_scan,,-0.1432510710096278,27.3,10,0.0625
delay_scan,,-0.08361913506344795,27.3,11,0.0625
delay_scan,,-0.12194013665447845,27.3,12,0.0625
delay_scan,,-0.12298896605496115,27.3,13,0.0625
delay_scan,,-0.0833288591645416,27.3,14,0.0625
delay_scan,,-0.12165119254344482,27.3,15,0.0625
delay_scan,,-0.15307246738243327,27.3,16,0.0625
delay_scan,,-0.07719347335875246,27.3,17,0.0625
delay_scan,,-0.08427633664745689,27.3,18,0.0625
delay_scan,,-0.11171838352110146,27.3,19,0.0625
delay_scan,,-0.08635712818654512,27.3,20,0.0625
delay_scan,,-0.10196130333768316,27.3,21,0.0625
delay_scan,,-0.06845595004767531,27.3,22,0.0625
delay_scan,,-0.07791020997853064,27.3,23,0.0625
delay_scan,,-0.10849481370906883,33.8,0,0.0625
delay_scan,,-0.0940173927325769,33.8,1,0.0625
delay_scan,,-0.09399533011776515,33.8,2,0.0625
delay_scan,,-0.09498615744674982,33.8,3,0.0625
delay_scan,,-0.0796192595717527,33.8,4,0.0625
delay_scan,,-0.08890284596780036,33.8,5,0.0625
delay_scan,,-0.07208236636675147,33.8,6,0.0625
delay_scan,,-0.08917544460542252,33.8,7,0.0625
delay_scan,,-0.14503097436976511,33.8,8,0.0625
delay_scan,,-0.07209139737261627,33.8,9,0.0625
delay_scan,,-0.07936568897471165,33.8,10,0.0625
delay_scan,,-0.09476265995810171,33.8,11,0.0625
delay_scan,,-0.09315070566800457,33.8,12,0.0625
delay_scan,,-0.0761818967513,33.8,13,0.0625
delay_scan,,-0.08547591406305022,33.8,14,0.0625
delay_scan,,-0.13100877419254073,33.8,15,0.0625
delay_scan,,-0.1439118439261195,33.8,16,0.0625
delay_scan,,-0.07770668509282283,33.8,17,0.0625
delay_scan,,-0.11867514087996242,33.8,18,0.0625
delay_scan,,-0.08939129232944955,33.8,19,0.0625
delay_scan,,-0.10988753007991456,33.8,20,0.0625
delay_scan,,-0.12947144885998788,33.8,21,0.0625
delay_scan,,-0.12140857290098009,33.8,22,0.0625
delay_scan,,-0.12564022491478014,33.8,23,0.0625
delay_scan,,-0.04687296050253066,7.83,0,0.125
delay_scan,,-0.08492386406580957,7.83,1,0.125
delay_scan,,-0.10570066856428578,7.83,2,0.125
delay_scan,,-0.07464332318684658,7.83,3,0.125
delay_scan,,-0.07219835183829858,7.83,4,0.125
delay_scan,,-0.07722596981483014,7.83,5,0.125
delay_scan,,-0.10016956709484022,7.83,6,0.125
delay_scan,,-0.12327545704980865,7.83,7,0.125
delay_scan,,-0.05626299433075323,7.83,8,0.125
delay_scan,,-0.0599662311254153,7.83,9,0.125
delay_scan,,-0.12560065448147079,7.83,10,0.125
delay_scan,,-0.04629939779926058,7.83,11,0.125
delay_scan,,-0.05270020569907874,7.83,12,0.125
delay_scan,,-0.06245663792595174,7.83,13,0.125
delay_scan,,-0.067787597209405,7.83,14,0.125
delay_scan,,-0.13023540198195294,7.83,15,0.125
delay_scan,,-0.07880821375491832,7.83,16,0.125
delay_scan,,-0.07723228283006532,7.83,17,0.125
delay_scan,,-0.06261446570824579,7.83,18,0.125
delay_scan,,-0.11272758630835547,7.83,19,0.125
delay_scan,,-0.09144250523600823,7.83,20,0.125
delay_scan,,-0.04566823961305695,7.83,21,0.125
delay_scan,,-0.08372226006494604,7.83,22,0.125
delay_scan,,-0.036570835278261465,7.83,23,0.125
delay_scan,,-0.08204168878682151,10.0,0,0.125
delay_scan,,-0.06129789235333365,10.0,1,0.125
delay_scan,,-0.11036402513678498,10.0,2,0.125
delay_scan,,-0.08400416728833712,10.0,3,0.125
delay_scan,,-0.0839991037239145,10.0,4,0.125
delay_scan,,-0.06312538853692948,10.0,5,0.125
delay_scan,,-0.14701577715607403,10.0,6,0.125
delay_scan,,-0.08061174700930679,10.0,7,0.125
delay_scan,,-0.07543264555372282,10.0,8,0.125
delay_scan,,-0.06923915187690492,10.0,9,0.125
delay_scan,,-0.123491485927466,10.0,10,0.125
delay_scan,,-0.055417608303612614,10.0,11,0.125
delay_scan,,-0.07668016179817277,10.0,12,0.125
delay_scan,,-0.08016356323295773,10.0,13,0.125
delay_scan,,-0.12246560960261317,10.0,14,0.125
delay_scan,,-0.05528964393464625,10.0,15,0.125
delay_scan,,-0.06346142986598571,10.0,16,0.125
delay_scan,,-0.11381100233299275,10.0,17,0.125
delay_scan,,-0.09493284416999886,10.0,18,0.125
delay_scan,,-0.07991959750855347,10.0,19,0.125
delay_scan,,-0.07162768726941025,10.0,20,0.125
delay_scan,,-0.07787018987688844,10.0,21,0.125
delay_scan,,-0.13386873225494972,10.0,22,0.125
delay_scan,,-0.06033475628376769,10.0,23,0.125
delay_scan,,-0.05208190397127051,14.3,0,0.125
delay_scan,,-0.04889953339896708,14.3,1,0.125
delay_scan,,-0.05771277344842561,14.3,2,0.125
delay_scan,,-0.06010017998362002,14.3,3,0.125
delay_scan,,-0.07951088105983303,14.3,4,0.125
delay_scan,,-0.07932483706078487,14.3,5,0.125
delay_scan,,-0.07861390306517559,14.3,6,0.125
delay_scan,,-0.03696793767085624,14.3,7,0.125
delay_scan,,-0.0714209652311582,14.3,8,0.125
delay_scan,,-0.0731833960795926,14.3,9,0.125
delay_scan,,-0.10481182187757411,14.3,10,0.125
delay_scan,,-0.04240574536978954,14.3,11,0.125
delay_scan,,-0.05628703077055899,14.3,12,0.125
delay_scan,,-0.03799823640221364,14.3,13,0.125
delay_scan,,-0.07119937367380118,14.3,14,0.125
delay_scan,,-0.029938525341782693,14.3,15,0.125
delay_scan,,-0.052321493527610424,14.3,16,0.125
delay_scan,,-0.04028781777426084,14.3,17,0.125
delay_scan,,-0.07969850475407574,14.3,18,0.125
delay_scan,,-0.057270583006641465,14.3,19,0.125
delay_scan,,-0.03965813804610506,14.3,20,0.125
delay_scan,,-0.04240537694895724,14.3,21,0.125
delay_scan,,-0.05563633496118535,14.3,22,0.125
delay_scan,,-0.06322846142995835,14.3,23,0.125
delay_scan,,-0.07294563137282893,20.8,0,0.125
delay_scan,,-0.09337875434510623,20.8,1,0.125
delay_scan,,-0.15216583297630176,20.8,2,0.125
delay_scan,,-0.121591238237877,20.8,3,0.125
delay_scan,,-0.14023498822155833,20.8,4,0.125
delay_scan,,-0.09370436486283439,20.8,5,0.125
delay_scan,,-0.09556751445796711,20.8,6,0.125
delay_scan,,-0.06489205809511363,20.8,7,0.125
delay_scan,,-0.09282293294453905,20.8,8,0.125
delay_scan,,-0.09206103581644201,20.8,9,0.125
delay_scan,,-0.05000863445365453,20.8,10,0.125
delay_scan,,-0.0789449099050022,20.8,11,0.125
delay_scan,,-0.08810359582633003,20.8,12,0.125
delay_scan,,-0.10774940020304738,20.8,13,0.125
delay_scan,,-0.089559503739532,20.8,14,0.125
delay_scan,,-0.17032356443463373,20.8,15,0.125
delay_scan,,-0.06568485495184383,20.8,16,0.125
delay_scan,,-0.08723710938488206,20.8,17,0.125
delay_scan,,-0.11448307274351564,20.8,18,0.125
delay_scan,,-0.07369842971060801,20.8,19,0.125
delay_scan,,-0.08333524657246297,20.8,20,0.125
delay_scan,,-0.10672802787022775,20.8,21,0.125
delay_scan,,-0.11740768652687121,20.8,22,0.125
delay_scan,,-0.10228478675712202,20.8,23,0.125
delay_scan,,-0.09134172486227948,27.3,0,0.125
delay_scan,,-0.07387293112032334,27.3,1,0.125
delay_scan,,-0.07513085981236285,27.3,2,0.125
delay_scan,,-0.05975353567459324,27.3,3,0.125
delay_scan,,-0.042411050930699634,27.3,4,0.125
delay_scan,,-0.1045761860378224,27.3,5,0.125
delay_scan,,-0.06384382917377268,27.3,6,0.125
delay_scan,,-0.07299065169844698,27.3,7,0.125
delay_scan,,-0.11585170585199749,27.3,8,0.125
delay_scan,,-0.06588231672260814,27.3,9,0.125
delay_scan,,-0.10884334402899741,27.3,10,0.125
delay_scan,,-0.051380170548832094,27.3,11,0.125
delay_scan,,-0.08864922935904769,27.3,12,0.125
delay_scan,,-0.08154920140245309,27.3,13,0.125
delay_scan,,-0.049746942414870474,27.3,14,0.125
delay_scan,,-0.08557090966471768,27.3,15,0.125
delay_scan,,-0.11387719087718255,27.3,16,0.125
delay_scan,,-0.05113106505118925,27.3,17,0.125
delay_scan,,-0.06282915192891136,27.3,18,0.125
delay_scan,,-0.059628434694173324,27.3,19,0.125
delay_scan,,-0.06497651230694355,27.3,20,0.125
delay_scan,,-0.06983529557369997,27.3,21,0.125
delay_scan,,-0.052483966587577355,27.3,22,0.125
delay_scan,,-0.05139782430076602,27.3,23,0.125
delay_scan,,-0.03658792348176347,33.8,0,0.125
delay_scan,,-0.03683606720125111,33.8,1,0.125
delay_scan,,-0.04350158511205164,33.8,2,0.125
delay_scan,,-0.04596036511873283,33.8,3,0.125
delay_scan,,-0.04740278819535361,33.8,4,0.125
delay_scan,,-0.02193614692037997,33.8,5,0.125
delay_scan,,-0.012459505015278385,33.8,6,0.125
delay_scan,,-0.04273326682524638,33.8,7,0.125
delay_scan,,-0.07484781447652937,33.8,8,0.125
delay_scan,,-0.016399190323055174,33.8,9,0.125
delay_scan,,-0.04859599323023735,33.8,10,0.125
delay_scan,,-0.040006027528618676,33.8,11,0.125
delay_scan,,-0.027973107431113475,33.8,12,0.125
delay_scan,,-0.033850339275496424,33.8,13,0.125
delay_scan,,-0.03356180084686279,33.8,14,0.125
delay_scan,,-0.06303832220803106,33.8,15,0.125
delay_scan,,-0.08038227724313342,33.8,16,0.125
delay_scan,,-0.030499451915404194,33.8,17,0.125
delay_scan,,-0.05019108588369017,33.8,18,0.125
delay_scan,,-0.03706761200815041,33.8,19,0.125
delay_scan,,-0.07016186890767057,33.8,20,0.125
delay_scan,,-0.042566032208650545,33.8,21,0.125
delay_scan,,-0.06305461657258177,33.8,22,0.125
delay_scan,,-0.06890187028581396,33.8,23,0.125
delay_scan,,0.015747220921422334,7.83,0,0.25
delay_scan,,0.030530104298909594,7.83,1,0.25
delay_scan,,0.03220299148006059,7.83,2,0.25
delay_scan,,0.015707688400536268,7.83,3,0.25
delay_scan,,-0.01619468417780423,7.83,4,0.25
delay_scan,,0.00264870127805944,7.83,5,0.25
delay_scan,,-0.024789848019552058,7.83,6,0.25
delay_scan,,0.04479556440760438,7.83,7,0.25
delay_scan,,-0.014199856427993318,7.83,8,0.25
delay_scan,,0.0073952512521855696,7.83,9,0.25
delay_scan,,-0.06656983787178072,7.83,10,0.25
delay_scan,,0.057095267554210766,7.83,11,0.25
delay_scan,,-0.004064950053477623,7.83,12,0.25
delay_scan,,0.041465799375431156,7.83,13,0.25
delay_scan,,9.588919505937321e-05,7.83,14,0.25
delay_scan,,0.032062615917742204,7.83,15,0.25
delay_scan,,0.07643409151132044,7.83,16,0.25
delay_scan,,0.005017807865129287,7.83,17,0.25
delay_scan,,0.011622119897920252,7.83,18,0.25
delay_scan,,0.016819821827785852,7.83,19,0.25
delay_scan,,-0.008736031183888604,7.83,20,0.25
delay_scan,,0.021558410050542348,7.83,21,0.25
delay_scan,,0.04781351974593012,7.83,22,0.25
delay_scan,,0.0496597820421837,7.83,23,0.25
delay_scan,,0.0444299916456955,10.0,0,0.25
delay_scan,,0.008709169527953586,10.0,1,0.25
delay_scan,,0.05482595598731435,10.0,2,0.25
delay_scan,,0.03489265068734701,10.0,3,0.25
delay_scan,,0.05322143732081619,10.0,4,0.25
delay_scan,,0.04579048861475282,10.0,5,0.25
delay_scan,,0.021042338458928944,10.0,6,0.25
